,2022_dollars,2023_dollars,23_Q2_dollars,23_Q3_dollars,23_Q4_dollars,24_Q1_dollars,24_Q2_dollars,2023_percentage,23_PRank,23_Q2_percentage,23_Q3_percentage,23_Q4_percentage,24_Q1_percentage,24_Q2_percentage,24_Prank_Q2
United States,"22,077,232","23,380,269","23,267,230","23,509,675","23,783,094","24,318,721","24,634,342",5.9,........,5.4,4.2,4.7,9.3,5.3,........
New England ,"1,210,641","1,278,575","1,273,694","1,283,948","1,300,451","1,335,805","1,347,469",5.6,........,5.7,3.3,5.2,11.3,3.5,........
Connecticut,"306,718","325,346","324,038","326,785","331,213","338,672","342,113",6.1,16,6,3.4,5.5,9.3,4.1,44
Maine ,"85,708","90,868","89,999","91,069","92,284","94,529","95,549",6,17,-0.5,4.8,5.4,10.1,4.4,39
Massachusetts ,"601,910","634,296","632,542","636,884","644,871","664,539","669,143",5.4,30,6.3,2.8,5.1,12.8,2.8,49
New Hampshire ,"104,684","110,684","110,351","111,175","112,828","116,030","117,179",5.7,21,7.5,3,6.1,11.8,4,46
Rhode Island ,"70,450","74,046","73,508","74,685","75,207","77,145","78,017",5.1,40,4,6.6,2.8,10.7,4.6,35
Vermont ,"41,172","43,336","43,255","43,351","44,048","44,890","45,467",5.3,36,5.4,0.9,6.6,7.9,5.2,22
Mideast ,"3,665,789","3,875,065","3,859,707","3,904,670","3,937,310","4,014,033","4,068,232",5.7,........,6.6,4.7,3.4,8,5.5,........
Delaware ,"65,208","68,982","68,757","69,386","69,988","71,594","72,384",5.8,20,5.8,3.7,3.5,9.5,4.5,37
District of Columbia ,"67,776","72,525","72,505","72,782","73,718","75,064","76,089",7,........,8.2,1.5,5.2,7.5,5.6,........
Maryland ,"439,741","465,937","463,681","469,388","474,252","484,972","490,979",6,18,6.5,5,4.2,9.4,5,29
New Jersey,"719,974","762,803","758,289","768,604","775,482","789,797","800,485",5.9,19,5.1,5.6,3.6,7.6,5.5,12
New York,"1,524,707","1,611,169","1,606,586","1,628,498","1,636,638","1,674,485","1,698,302",5.7,22,8.8,5.6,2,9.6,5.8,10
Pennsylvania ,"848,383","893,649","889,888","896,011","907,232","918,121","929,993",5.3,33,3.9,2.8,5.1,4.9,5.3,19
Great Lakes ,"2,899,493","3,049,473","3,035,368","3,065,630","3,100,458","3,158,993","3,199,304",5.2,........,5.3,4,4.6,7.8,5.2,........
Illinois ,"862,729","906,648","902,850","910,908","921,689","933,184","944,764",5.1,41,5.4,3.6,4.8,5.1,5.1,26
Indiana,"402,919","420,260","418,509","422,389","427,273","439,256","443,815",4.3,46,5.6,3.8,4.7,11.7,4.2,41
Michigan ,"582,021","613,719","611,897","616,987","621,519","635,087","644,611",5.4,28,5,3.4,3,9,6.1,6
Ohio ,"686,658","724,779","720,550","729,288","738,642","752,953","762,788",5.6,26,5.7,4.9,5.2,8,5.3,18
Wisconsin ,"365,165","384,068","381,563","386,056","391,335","398,513","403,326",5.2,38,4.6,4.8,5.6,7.5,4.9,30
Plains ,"1,394,917","1,464,221","1,458,041","1,471,726","1,483,319","1,500,403","1,518,915",5,........,4,3.8,3.2,4.7,5,........
Iowa ,"197,021","201,333","200,112","202,210","203,021","204,336","206,886",2.2,49,0.2,4.3,1.6,2.6,5.1,25
Kansas,"183,034","194,414","193,532","195,970","197,196","199,181","202,122",6.2,15,5.5,5.1,2.5,4.1,6,9
Minnesota ,"399,446","416,325","414,343","418,718","422,428","428,954","433,238",4.2,47,4.5,4.3,3.6,6.3,4.1,45
Missouri ,"364,499","387,905","386,484","389,565","394,487","400,945","406,356",6.4,11,5.8,3.2,5.2,6.7,5.5,13
Nebraska,"131,989","141,151","140,703","141,834","142,438","142,584","144,890",6.9,6,3.1,3.3,1.7,0.4,6.6,3
North Dakota ,"55,488","56,475","56,481","56,537","56,542","56,471","56,791",1.8,50,1,0.4,0,-0.5,2.3,50
South Dakota ,"63,440","66,620","66,387","66,891","67,206","67,932","68,633",5,43,2.4,3.1,1.9,4.4,4.2,43
Southeast ,"5,153,501","5,491,964","5,458,461","5,518,918","5,602,366","5,732,659","5,807,205",6.6,........,5.3,4.5,6.2,9.6,5.3,........
